run_id,config_hash,timestamp,start_time,end_time,game,traversal,method,seed,iterations,eval_every,params_count,flops_est,hidden_dims,network_type,optimizer_cfg,replay_cfg,update_cadence,python_version,openspiel_version,torch_version,commit_hash,platform_info,final_exploitability,final_nashconv,best_exploitability,best_nashconv,mean_value,steps_to_threshold,time_to_threshold,wall_clock_s,ev_vs_tabular_cfr,ev_vs_deep_cfr,ev_vs_sd_cfr,ev_std_error,diagnostics_coverage,gradient_norms_logged,advantage_stats_logged,policy_kl_logged,clipping_events_logged,timing_logged,bootstrap_ci_lower,bootstrap_ci_upper,confidence_level,holm_bonferroni_corrected,final_training_loss,training_convergence,nash_conv_spikes,avg_gradient_norm,memory_usage_mb,cpu_utilization,training_flops,evaluation_flops,deterministic_cudnn,random_seed_set,environment_frozen
kuhn_sd_cfr_seed_00,64802ba1,2025-10-12T04:29:13.274391,2025-10-12T04:29:13.274416,2025-10-12T04:29:13.274417,kuhn_poker,external_sampling,sd_cfr,0,500,25,18436,36872,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4583333333333332,0.9166666666666664,0.4583333333333332,0.9166666666666664,0.125,-1,-1.0,47.03727102279663,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,18436000,737440,False,True,True
kuhn_sd_cfr_seed_01,96edf68e,2025-10-12T04:30:00.591147,2025-10-12T04:30:00.591167,2025-10-12T04:30:00.591168,kuhn_poker,external_sampling,sd_cfr,1,500,25,18436,36872,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4167807381584477,0.8335614763168955,0.4167807381584477,0.8335614763168955,0.3169168096009571,-1,-1.0,47.293781042099,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,18436000,737440,False,True,True
kuhn_sd_cfr_seed_02,24fb6881,2025-10-12T04:30:50.544077,2025-10-12T04:30:50.544098,2025-10-12T04:30:50.544099,kuhn_poker,external_sampling,sd_cfr,2,500,25,18436,36872,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.45457633392266,0.90915266784532,0.45457633392266,0.90915266784532,0.2756246361392933,-1,-1.0,49.91472506523132,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,18436000,737440,False,True,True
kuhn_sd_cfr_seed_03,8a639ddc,2025-10-12T04:31:40.364816,2025-10-12T04:31:40.364838,2025-10-12T04:31:40.364839,kuhn_poker,external_sampling,sd_cfr,3,500,25,18436,36872,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.3620638928915622,0.7241277857831245,0.3620638928915622,0.7241277857831245,0.1610964046193042,-1,-1.0,49.786598920822144,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,18436000,737440,False,True,True
kuhn_sd_cfr_seed_04,5b935f6a,2025-10-12T04:32:28.873958,2025-10-12T04:32:28.873977,2025-10-12T04:32:28.873978,kuhn_poker,external_sampling,sd_cfr,4,500,25,18436,36872,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4409590693220102,0.8819181386440204,0.4409590693220102,0.8819181386440204,0.1750144471140376,-1,-1.0,48.47883868217468,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,18436000,737440,False,True,True
kuhn_sd_cfr_seed_05,994720a9,2025-10-12T04:33:17.252200,2025-10-12T04:33:17.252222,2025-10-12T04:33:17.252223,kuhn_poker,external_sampling,sd_cfr,5,500,25,18436,36872,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.5085440950205162,1.0170881900410325,0.5085440950205162,1.0170881900410325,0.1875699681435462,-1,-1.0,48.34056282043457,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,18436000,737440,False,True,True
kuhn_sd_cfr_seed_06,9adfb161,2025-10-12T04:34:04.439013,2025-10-12T04:34:04.439033,2025-10-12T04:34:04.439034,kuhn_poker,external_sampling,sd_cfr,6,500,25,18436,36872,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.5131630883336038,1.0263261766672076,0.5131630883336038,1.0263261766672076,0.3467109544258839,-1,-1.0,47.1570770740509,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,18436000,737440,False,True,True
kuhn_sd_cfr_seed_07,23ace895,2025-10-12T04:34:51.899160,2025-10-12T04:34:51.899178,2025-10-12T04:34:51.899179,kuhn_poker,external_sampling,sd_cfr,7,500,25,18436,36872,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4799679302849553,0.9599358605699106,0.4799679302849553,0.9599358605699106,0.1932296804964082,-1,-1.0,47.43124771118164,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,18436000,737440,False,True,True
kuhn_sd_cfr_seed_08,66b8d0b4,2025-10-12T04:35:38.729051,2025-10-12T04:35:38.729075,2025-10-12T04:35:38.729076,kuhn_poker,external_sampling,sd_cfr,8,500,25,18436,36872,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.3843956551244953,0.7687913102489906,0.3843956551244953,0.7687913102489906,0.0969824190750059,-1,-1.0,46.8001651763916,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,18436000,737440,False,True,True
kuhn_sd_cfr_seed_09,952321a7,2025-10-12T04:36:25.237535,2025-10-12T04:36:25.237553,2025-10-12T04:36:25.237554,kuhn_poker,external_sampling,sd_cfr,9,500,25,18436,36872,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4583333333333332,0.9166666666666664,0.4583333333333332,0.9166666666666664,0.125,-1,-1.0,46.478347063064575,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,18436000,737440,False,True,True
