run_id,game,policy,backend,device,seed,iterations,final_exploitability,final_nash_conv,exploit_auc,nash_auc
leduc_poker_cfr_seed0_iter1000_epi128_backendpyspiel_cfr_iter1000_cfr_20251017_224519,leduc_poker,cfr,unknown,unknown,0,1000,0.01181720325037413,0.02363440650074826,59.31419698143802,118.62839396287605
leduc_poker_cfr_seed0_iter1000_epi128_backendpyspiel_devicecpu_cfr_iter1000_cfr_20251020_050422,leduc_poker,cfr,pyspiel,cpu,0,1000,0.01181720325037413,0.02363440650074826,59.31419698143802,118.62839396287605
leduc_poker_neural_tabular_seed0_iter500_epi128_backendpyspiel_devicecpu_iter500_epi128_pyspiel_neural_20251019_194702,leduc_poker,neural_tabular,pyspiel,cpu,0,500,2.631712897901755,5.26342579580351,1210.648431563654,2421.296863127308
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_iter500_epi128_rust_neural_20251020_013353,leduc_poker,neural_tabular,rust,cpu,0,500,2.4117183267083404,4.823436653416681,1211.2481230158937,2422.4962460317875
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_iter500_epi128_neural_20251017_222239,leduc_poker,neural_tabular,unknown,unknown,0,500,2.3872401834160755,4.774480366832151,1193.954331652785,2387.90866330557
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_iter500_epi128_neural_20251017_223813,leduc_poker,neural_tabular,unknown,unknown,0,500,2.390292023976717,4.780584047953434,1175.431372242334,2350.862744484668
leduc_poker_neural_tabular_seed1_iter500_epi128_backendpyspiel_devicecpu_iter500_epi128_pyspiel_neural_20251019_203819,leduc_poker,neural_tabular,pyspiel,cpu,1,500,2.370785278605873,4.741570557211746,1181.6066660354284,2363.2133320708567
leduc_poker_neural_tabular_seed1_iter500_epi128_backendrust_devicecpu_iter500_epi128_rust_neural_20251020_022451,leduc_poker,neural_tabular,rust,cpu,1,500,2.390219412432215,4.78043882486443,1183.6862554384177,2367.3725108768353
leduc_poker_neural_tabular_seed1_iter500_epi128_backendrust_iter500_epi128_neural_20251017_222412,leduc_poker,neural_tabular,unknown,unknown,1,500,2.2975472108629154,4.595094421725831,1173.7665754041657,2347.5331508083314
leduc_poker_neural_tabular_seed1_iter500_epi128_backendrust_iter500_epi128_neural_20251017_223945,leduc_poker,neural_tabular,unknown,unknown,1,500,2.461345008666603,4.922690017333206,1195.5316803330047,2391.0633606660094
leduc_poker_neural_tabular_seed2_iter500_epi128_backendpyspiel_devicecpu_iter500_epi128_pyspiel_neural_20251019_213131,leduc_poker,neural_tabular,pyspiel,cpu,2,500,2.6463703725270333,5.292740745054067,1209.7812518045087,2419.5625036090173
leduc_poker_neural_tabular_seed2_iter500_epi128_backendrust_devicecpu_iter500_epi128_rust_neural_20251020_031827,leduc_poker,neural_tabular,rust,cpu,2,500,2.5313518963479416,5.062703792695883,1210.7091693489672,2421.4183386979344
leduc_poker_neural_tabular_seed2_iter500_epi128_backendrust_iter500_epi128_neural_20251017_222543,leduc_poker,neural_tabular,unknown,unknown,2,500,2.480301754309765,4.96060350861953,1218.0976093679235,2436.195218735847
leduc_poker_neural_tabular_seed2_iter500_epi128_backendrust_iter500_epi128_neural_20251017_224118,leduc_poker,neural_tabular,unknown,unknown,2,500,2.372570278444554,4.745140556889108,1186.3516958392445,2372.703391678489
leduc_poker_neural_tabular_seed3_iter500_epi128_backendpyspiel_devicecpu_iter500_epi128_pyspiel_neural_20251019_222434,leduc_poker,neural_tabular,pyspiel,cpu,3,500,2.4053699830604565,4.810739966120913,1187.5114591756526,2375.022918351305
leduc_poker_neural_tabular_seed3_iter500_epi128_backendrust_devicecpu_iter500_epi128_rust_neural_20251020_041100,leduc_poker,neural_tabular,rust,cpu,3,500,2.628946111260709,5.257892222521418,1220.3615450613115,2440.723090122623
leduc_poker_neural_tabular_seed3_iter500_epi128_backendrust_iter500_epi128_neural_20251017_222713,leduc_poker,neural_tabular,unknown,unknown,3,500,2.4136311763698286,4.827262352739657,1187.5017907957356,2375.003581591471
leduc_poker_neural_tabular_seed3_iter500_epi128_backendrust_iter500_epi128_neural_20251017_224250,leduc_poker,neural_tabular,unknown,unknown,3,500,2.5155074128516715,5.031014825703343,1199.5773797821034,2399.154759564207
leduc_poker_neural_tabular_seed4_iter500_epi128_backendpyspiel_devicecpu_iter500_epi128_pyspiel_neural_20251019_231856,leduc_poker,neural_tabular,pyspiel,cpu,4,500,2.4755197667416393,4.951039533483279,1209.609656114975,2419.21931222995
leduc_poker_neural_tabular_seed4_iter500_epi128_backendrust_devicecpu_iter500_epi128_rust_neural_20251020_050309,leduc_poker,neural_tabular,rust,cpu,4,500,2.686005554345681,5.372011108691362,1200.6149991590864,2401.229998318173
leduc_poker_neural_tabular_seed4_iter500_epi128_backendrust_iter500_epi128_neural_20251017_222839,leduc_poker,neural_tabular,unknown,unknown,4,500,2.424316611789312,4.848633223578624,1197.4900171093716,2394.980034218743
leduc_poker_neural_tabular_seed4_iter500_epi128_backendrust_iter500_epi128_neural_20251017_224423,leduc_poker,neural_tabular,unknown,unknown,4,500,2.499710609128601,4.999421218257202,1208.0193970564042,2416.0387941128083
